Score,Summary,Text
1,"Filler food is empty, leaves your cat always needing more","This review will make me sound really stupid, but whatever. I don't really care as long as people find out what's real and can avoid my mistakes.<br /><br />I got my wonderful little sweet Bella Bean when she was a few days shy of three years old. She had been bounced around from house to house and eating whatever was cheap. I have had cats around me my entire life, for about twenty-five years now. My mother always just fed them whatever, the kinds of food you buy in the supermarket - Friskies, Nine Lives, Kit & Kaboodle, stuff like that. And our cats were always fine, at least in terms of their eating habits. They would eat in the morning, stop when they were done, come back, and eat some more when they got hungry.<br /><br />My housemate at the time was working for Hill's and assured me that this was the best food ever made, so great, so on and so forth. I now know that she is an utter buffoon, but I initially trusted her judgment, which is so unfortunate because she doesn't think. She also had plenty of coupons for free or deeply discounted bags, which made it a much more attractive choice.<br /><br />I first tried feeding the little Bean an unmeasured amount of Science Diet in a bowl, but that didn't work, as she would devour it in one sitting. So then I took to measuring it, and she did the same thing. Then I started parsing it out to twice a day. That didn't work either, because she would start going crazy in the middle of the day, running around, intentionally destroying things, deliberately spilling her water, crying, etc., until she got more food. So then I split it into three servings. Same thing. Then it got to be four servings. That was a little better, but it was too much maintenance and unrealistic to be around every day to feed her four times. So then it went back to three. All the while, I was trying to reduce the amount of food I was feeding her to less than 3/4 of a cup because she was a little chubby. Reducing was hell. She became even more hungry, but I figured she would get used to it. Not really.<br /><br />For over a year, she would wake me up every morning looking for food in a serious way, knocking things off my desk, ripping up any paper she could find, scratching at the door and committing general acts of mischief. As soon as she got food, she was back to her sweet self, but only for three or four hours.<br /><br />We thought she was bored, we thought she was a little nutty, and maybe even had a kitty eating disorder. She always wanted food. It was kind of funny but in the end it was just sad.<br /><br />A few weeks back, we took her to a new (good, non-money factory) vet for her second checkup since I've had her. I talked with him about her being always hungry. He asked what she ate, and I told him the adult indoor Science Diet. Without saying as much, he basically told me that this food is garbage and I should look for something else. He said cat food should have a protein followed by a carbohydrate as the first two ingredients. Science Diet does, in a very loose, by-product kind of way - ground up slaughterhouse leftovers and corn dust. Then they put a bunch of vitamins in it to make it ""healthy,"" instead of just using good ingredients from the beginning. Not that I care about spending money on the Bean, but this food is way too expensive for what it is.<br /><br />So we began transitioning her onto Wellness indoor formula about two weeks ago. She is still eating 50 percent Science Diet with 50 percent Wellness (you really shouldn't just give a cat different food one day out of the blue) but SHE NEVER FREAKS OUT ANYMORE. It's amazing. And it's 100 percent because she is eating real food now, along with that sawdust and chicken hearts I still regrettable have to feed her. We have her down to eating twice a day, only 1/3 cup in TOTAL. She was eating three times a day, 5/8 of a cup in total. Now she eats some in the morning, walks away, eats some more a few hours later, and then looks for dinner about twelve hours after her initial feeding. No more knocking things over, no more trashing Dad's papers on the desk, no more howling, no more deliberately spilled water on the floor. It's incredible.<br /><br />I feel so bad that I was doing this to her for so long. We really thought she was just being dramatic or whatever. But no, she was genuinely hungry because she wasn't eating any real food.<br /><br />Do your cat a favor - buy her or him so food made with real ingredients, things you would eat - Wellness, Halo, Innova, Evo, whatever. Figure it out for yourself, but please don't feed your cat this. It's garbage."
1,"Filler food is empty, leaves your cat always needing more","This review will make me sound really stupid, but whatever. I don't really care as long as people find out what's real and can avoid my mistakes.<br /><br />I got my wonderful little sweet Bella Bean when she was a few days shy of three years old. She had been bounced around from house to house and eating whatever was cheap. I have had cats around me my entire life, for about twenty-five years now. My mother always just fed them whatever, the kinds of food you buy in the supermarket - Friskies, Nine Lives, Kit & Kaboodle, stuff like that. And our cats were always fine, at least in terms of their eating habits. They would eat in the morning, stop when they were done, come back, and eat some more when they got hungry.<br /><br />My housemate at the time was working for Hill's and assured me that this was the best food ever made, so great, so on and so forth. I now know that she is an utter buffoon, but I initially trusted her judgment, which is so unfortunate because she doesn't think. She also had plenty of coupons for free or deeply discounted bags, which made it a much more attractive choice.<br /><br />I first tried feeding the little Bean an unmeasured amount of Science Diet in a bowl, but that didn't work, as she would devour it in one sitting. So then I took to measuring it, and she did the same thing. Then I started parsing it out to twice a day. That didn't work either, because she would start going crazy in the middle of the day, running around, intentionally destroying things, deliberately spilling her water, crying, etc., until she got more food. So then I split it into three servings. Same thing. Then it got to be four servings. That was a little better, but it was too much maintenance and unrealistic to be around every day to feed her four times. So then it went back to three. All the while, I was trying to reduce the amount of food I was feeding her to less than 3/4 of a cup because she was a little chubby. Reducing was hell. She became even more hungry, but I figured she would get used to it. Not really.<br /><br />For over a year, she would wake me up every morning looking for food in a serious way, knocking things off my desk, ripping up any paper she could find, scratching at the door and committing general acts of mischief. As soon as she got food, she was back to her sweet self, but only for three or four hours.<br /><br />We thought she was bored, we thought she was a little nutty, and maybe even had a kitty eating disorder. She always wanted food. It was kind of funny but in the end it was just sad.<br /><br />A few weeks back, we took her to a new (good, non-money factory) vet for her second checkup since I've had her. I talked with him about her being always hungry. He asked what she ate, and I told him the adult indoor Science Diet. Without saying as much, he basically told me that this food is garbage and I should look for something else. He said cat food should have a protein followed by a carbohydrate as the first two ingredients. Science Diet does, in a very loose, by-product kind of way - ground up slaughterhouse leftovers and corn dust. Then they put a bunch of vitamins in it to make it ""healthy,"" instead of just using good ingredients from the beginning. Not that I care about spending money on the Bean, but this food is way too expensive for what it is.<br /><br />So we began transitioning her onto Wellness indoor formula about two weeks ago. She is still eating 50 percent Science Diet with 50 percent Wellness (you really shouldn't just give a cat different food one day out of the blue) but SHE NEVER FREAKS OUT ANYMORE. It's amazing. And it's 100 percent because she is eating real food now, along with that sawdust and chicken hearts I still regrettable have to feed her. We have her down to eating twice a day, only 1/3 cup in TOTAL. She was eating three times a day, 5/8 of a cup in total. Now she eats some in the morning, walks away, eats some more a few hours later, and then looks for dinner about twelve hours after her initial feeding. No more knocking things over, no more trashing Dad's papers on the desk, no more howling, no more deliberately spilled water on the floor. It's incredible.<br /><br />I feel so bad that I was doing this to her for so long. We really thought she was just being dramatic or whatever. But no, she was genuinely hungry because she wasn't eating any real food.<br /><br />Do your cat a favor - buy her or him so food made with real ingredients, things you would eat - Wellness, Halo, Innova, Evo, whatever. Figure it out for yourself, but please don't feed your cat this. It's garbage."
3,Not tastey,"I fed this product to my cat and my roommate's cat.  I was experimenting with food since the cats are almost 1, and I wanted to introduce different kinds of adult food so they'd get used to them.  I mixed half Science Diet dry kitten food with this product, and the cats began to eat less.  I was worried about how much they were eating (nearly 1/4 their original diet) so I filled one bowl with this indoor cat food and one bowl with their kitten food.  They barely touched the indoor cat food, while eating most of their kitten food.  I ended up having to mix some canned cat food in with it to get them to eat.<br /><br />Part of it might be that the food is triangular and much larger than the kitten food.  They had a hard time eating it at first, since they were used to the small pieces of the kitten food.<br /><br />Don't be discouraged, though.  My cat can't tell the difference between the kitten food and the regular adult food.  They really enjoy Science Diet's fish flavored food, so give that a try."
5,Great food for cats,"My two cats love Science Diet. Only problem is I wish they would have a picture of the food on the outside of the bag. There is the dry which is tan, triangle shaped and the other is a dark brown,round shape. I always end up buying the wrong bag and the cats only love one."
1,"BAD, do NOT buy!","Chicken by-product, corn gluten meal, and whole ground corn?!!  Yeah, I'm NOT feeding my cat that, sorry. Googling ""corn gluten meal"" shows that it is used as an herbicide according to U.S. Patent # 5,030,268. If you Google ""U.S. Patent 5,030,268"" you will find out.  By-products are all the nasty parts of the chicken, turkey that humans won't eat: feet, neck, spleen, intestines that have bad effects on health. After all there are reasons why humans don't eat these parts, correct? So why should our pets? A good book that explains about by-products and manufacturing is The New Natural Cat by Anitra Frazier.  Because of these ingredients being in most cat foods, I buy Tractor Supply's 4HEALTH INDOOR dry food. Compare the ingredients in the Science Diet food to 4HEALTH and you will see the differences. 4HEALTH is a much better quality product with no corn, wheat or soy at HALF the price."
5,DELICIOUS,"Delicious and good for you.  Orginially purchased for my toddler, some of the pieces are a little large and hard for him so we just share a bag!"
5,"Yummy, crunchy","Add to cereal or eat out of your hand. Each bag has an apple plus other fruit. Nutritious, nothing added."
5,"Tasty, healthy, and satisfying snack!","I have tried all of the Sensible Food crunch dried snacks.  They are all delicious, and these cherry berry ones are my favorites.  The berry taste is sweet and tart at the same time, and the crunch is very satisfying.  Hard to believe that something this tasty is actually good for you.  I recommend all the flavors.  None of them will disappoint!"
4,Heavy on apples,"This is good, but it has too many apples.  I was hoping for more berries.  I was also hoping the kids would like to snack on it, but neither one (a 2 and 6 year old) really likes them.  They are also difficult to eat because the pieces are so small.  However, that makes it great for sprinkling on cereal or oatmeal.  Overall, a good product, worth a try."
4,Great Snack,This is my favorite flavor of the Sensible Foods Fruit snacks. They are gluten free which is necessary for me with Celiac Disease. I love this flavor and like to sprinkle them on yogurt for breakfast in the morning when berries are out of season and so expensive. I wish the pieces were bigger to make it easier to just eat by themselves as a snack. My daughter is diabetic and also loves this line of snacks.
3,Dried Cherry Berry 0.75 oz,I love blueberries but the ones in this pouch remind me of burnt crumbs. I pick them out and eat the rest.
4,"Great Product, with a flaw or two","This product is decent. It provides a nice amount of crunch-dried (a tad different than freeze-dried) fruit with a great taste. While there are mostly apples, the other fruits are represented well enough.<br /><br />The only problem is the fruit dust. Because of the shape of the package, the only way to get fruit out is to tip the pack. Unfortunately, fruit dust always resides at the bottom and easily creates a mess if one is not careful.<br /><br />All in all, I recommend this product and hope that the organic version of this will be chosen over the non-organic. With apples being number two on the foods most contaminated with pesticides, organic is the only option."
5,YUMMY!!!,"I was looking for a healthier alternative to Fruit Rollups, Gushers and the like.  I wasn't sure what to expect but these are delicious!!!  They satisfy the ""crunchy"" craving if you are in the mood for chips, and have a wonderful sweet taste if you are craving a fruit snack or sweets.  They have no weird aftertaste (no aftertaste at all except the sweet fruit).  Best of all, they are equivalent to a half cup of fruit.  It IS real fruit, in a different form.  I can't say enough about this snack except I wish it was cheaper.  In this case you get what you pay for.  I highly recommend it and will be purchasing this myself regularly!"
3,ok but tiny pieces,good flavor but apples were a bit stale and pieces were tiny crumb like... too expensive for crumbs.
4,Good,"These dried fruits are excellent.  Toss them on yogurt, cereal or just eat 'em the way I prefer, straight out of the packet.  Good quality.  Perfect for little snackers like my 2-1/2 year old.  I would've liked them even more if there was just a little less apple in this particular mix, but still excellent."
5,Great Healthy On The Go Snack!,"I found this product at my local grocer and then found it cheaper at Amazon. Great snack! I'm a person who likes ""crunchy"" in my diet and most dried fruits are chewy. These dried fruits are great, they are crunchy and light, almost dissolving on your tongue, but packed with flavor! You can't go wrong with these as a snack on the go!"
4,Good healthy snack!,"Good sweet crunch that beats a candy bar. Low in calories has 22% vitamin C, and no additives. I have also added it to bran cereal and yogurt. Good way to get a serving of fruits in and easy to throw in your bag for on the go. I have tried the organic and regular version and no real difference in taste. Organic costs more, of course."
5,great taste,"My whole family loves it. The children take it to school for lunch. I have it in my car, it is just a great healthly and tasty snack."
2,simply waste,"one star cause they're organic<br />one star cause they're pure and nothing added like sugar or so<br />but they reached me mostly pulverized,<br />0,75 ounce are not really satisfying<br />and actually they're missing taste<br />now i will go back to the good old raisins and dried cranberrys etc."
4,Tasty  and Green,"I liked this. It was a nice tasty alternative to fresh fruit. Sometimes you can't do fresh on the go, but this I keep in my car for those quick craving fixes. It is only 1 point if you follow the WW plan. Of course it's green for the environment! Organic, you just can't go wrong there. Will buy again."
2,Not For Me,"Most of the people I work with really liked these, however I didn't.  I would suggest that you try them for yourself."
4,I received the non-organic variety twice!!!,"My son eats an organic diet, and I thought this would be a perfect snack. Oops, I received the non-organic variety. Contacted Amazon, no problem, keep those and we'll send you organic. The label said ""organic"" on shipment 2, but upon opening the box, they weren't organic. Amazon decided to refund my money. I really wanted to try the produce, and found another vendor, no problems and my son enjoyed these snacks. If Amazon could get their act together, I would order these again!"
5,Hot with Substance,"I try as many hot sauces as I can. I put hot sauce on nearly everything. This NW Elixirs Hott Sauce is incredible. Flavorful, spicy, with depth of flavor that seems to have many layers. My mouth is watering as I type this! Time to get put some on chicken for tonight. I highly recommend giving this sauce a try."
5,I love NW Elixirs #2!,"This hot sauce is fantastic!  The verde isn't too hot, but has a nice kick and tons of flavor.  I use it not only as a hot sauce, but as a marinade and a salsa.  I put it on everything from tacos to chicken to pizza.  Give it a try!"
5,YUMMO!,This is the best hot sauce ever! It has the right amount of heat with tons of flavor. I have the red sauce and can't wait to try the green sauce.
5,GREAT PRODUCT!!!!,Love this Hot Sauce! You can put it on just about anything. I have bought this for friends and family and they love it to.
5,Best snack bar,"I love that these bars strive to be on the low end of the Glycemic Index (meaning they don't spike your blood sugar levels) and that they use nuts as the base, rather than grains. Although they are more pricey than some other bars (and I am a poor college student) they remain my favorite."
5,Yumm,"The price is just okay, but you do get a variety.  They are harder to find as my local Starbucks keeps running out.  So ordering them from Amazon is a great option."
5,Have always liked this product,"I bought the Almond & Walnut & Macadamia + Protein [12 pack], not the ""item being reviewed"" Fruit & Nut [18 pack]. I purchased these at the $1.10 price per bar that I used to pay ten years ago at Walmart; which is a good deal when you like quality nut bars, and can't find them for under $2.50-$3.00 @ Starbucks. I carry my own bar now to enjoy with their expensive coffee~~~"
5,Kind Bars variety pack,"Excellent price and a great item.  Gluten free and has a great taste.  I have one every afternoon for that 4 o'clock blob time, works great"
4,KIND BARS,I'VE HAD THIS PRODUCT PRIOR TO PURCHASING FROM AMAZON.  I WAS PLEASED WITH KIND BARS I RECEIVED FROM AMAZON. THESE<br />ARE THE ONLY ASSORTMENT OF KIND BARS I WILL PURCHASE IN THE FUTURE. OTHERS ARE TOO RICH AND NOT TO MY LIKING. (18 in a box-fruit and nut is what I will continue to buy).  THEY WERE SATISFYING AND THE NUTS WERE FRESH. GREAT IN BETWEEN MEALS.<br />Thank you.
3,KIND bars rule.....but,"get any other flavor, not sure and maybe I didn't read far enough.... there is only 2 flavors in variety and neither would count as even close to a fav"
5,Bought these as a meal replacement bar,"I enjoyed these a lot more than I expected, as I usually don't like this kind of thing. The surprising part to me was that my family liked them so much, even asked if I had bought more yet."
5,Awesome!,"These are some of the best snack bars I have ever tasted - very pure, you can see everything that's in it, no hidden junk. A little pricey, but much cheaper on Amazon."
5,YUM!,The package arrived and we are quickly making our way through these yummy snacks. Would definitely buy these again and again.
5,Fantastic Snack,"This is a wonderful snack to take in the car, office, bus or wherever you may be on the road.  It is very tasty and good.  I shared some with my granddaughter and she loved it.  She is 4 and I almost retired so that says a lot for the range in taste.  I would highly recommend this for a healthy snack for any age group."
4,Great Snack Option,"I think the Fruit & Nut Delight is a delicious and healthy snack option. My husband really enjoys the Apricot & Almond bar. This box is the best of both worlds, and we're looking forward to buying them again soon.<br /><br />My one criticism; I wish KIND used organic, and healthier ingredients. Soy lecithin, for instance, is less than ideal, as is millet (a known goitrogen, affecting thyroid function)."
5,Excellent snack bar!,"The goal was to replace a few different granola bar favorites with something relatively healthy and better flavors. The KIND bars are a complete victory for me! WOW! I have tried 3 flavors and all are significantly tastier and fulfilling than many of the granola bars. I love the nuts, dried fruits and the overall freshness. Then there is the dark chocolate version which tastes almost naughty! These are homerun choices for me!"
5,DELICIOUS & NUTRICIOUS,This 18 count box of KIND bars was a good value. The free shipping is really a plus. This fruit and nut variety is delicious just like all the others I have tried. Always keep one in my purse in case of a snack attack. Very healthy snack.
5,Love Kind Bars,"You can't go wrong with ""Kind Bars"". I've tried just about all the flavors and my hubby and I love them! They have some good antioxidants, taste great, have great crunch without breaking your teeth like some other bars we've tried. I can't imagine anyone not loving these bars."
5,So fresh!,"I am picky when it comes to snack foods.  Nothing to sweet, nothing too salty, and nothing that isn't good for you.  This pack has two of the best flavored bars I have eaten that come in a package.  I have picked up a subscription to get these mailed out to me each month and am happy I did!"
5,LOVE LOVE LOVE these bars!,These are so delicious! I love the KIND bars. They travel well and are very filling without being overly sweet. I have gotten my whole office addicted to them. The Coconut Almond and the Cranberry are my favorite bars for breakfast or a pick-me-up snack but if I crave dessert I will grab the dark chocolate cherry. YUM! My least favorite is the apricot one because I am not a huge fun of dried apricots. Just watch out if you are allergic to soy as the Kind + Protein bars have soy protein.
5,Best bar ever,I buy a lot of snack and health bars because I hike and like healthy snacks.  This is by far the very best tasting one and probably the best one for me.
5,Ultimate Snack Bars,"These are so delicious, a lot of variety, have had myself from local grocery and wanted to share as a gift for my sister. They are habit forming!"
4,Good bars,Very good bars.  Love the sweetness to the bars.  Love the Almond and apricot bar. Fruit and nut delight is ok.  Too much almonds though.  Overall good bars to eat.  A little pricey though.
5,KIND Bar Tastes Great,"This is an excellent snack bar, great tasting and nutritious.  And Amazon sells it for a great price.  Maybe the bar should be a little bigger to be better."
5,Kind bars,"I absolutely love Kind Bars.  Starting buying them from Amazon a few months ago. I've tried various kinds, but I really like the apricot/yogurt ones the best!"
5,Yummie,"I love the Kind Fruit & Nut bars, they are not only good for you but tasty too!  They arrived fresh and provided a savings over purchasing them individually from my local grocery store."
1,Outdated,"I had bought a box of theKind bars back in July of this year. They are delicious, but I ws eating one the other day and noticed the experation date was April 2011! NOT GOOD! Needless to say I won't be buying those on line again or any other food item. I could understand if it was a month out of date, but a year and 3 months - come on. Ridiculous."
1,More Peanuts,I hardly find almonds this bar has just peanuts and 1 or 2 almonds.<br />Not worth the price.Taste is ok.
4,Alternate Uses,"Perfect for our needs.  While we did use the peppermint leaves for cooking, we also used it in outside doorways to keep away unwanted pests (mice) who dislike the smell."
5,Fruit heaven,"One can sells for 3.39 at my local grocery store, so with this special, it's about 2.16/can for 2 8 packs. What a bargain w/ FS. The fruit is soooooo tasty. I usually buy frozen, but this canned is better, so I've converted. I confess I eventually ate a whole can during one evening as a healthy plain fruit dessert since I kept going back for ""seconds"" a few times. Truly the next best thing to fresh."
5,Oregon Fruit Boysenberries,"Boysenberry pie is a favorite in my family but often I can't find canned boysenberries in the store.  When I saw that Amazon had them in the grocery section, I snapped up a pack of 8.  Now I have them in my pantry for whenever I want to bake, and have enough ahead that I won't run out!  The Oregon brand is dependable and the berries are good."
5,Love boysenberries,I grew up in California where we always had boysenberries.  A pie made from them is my favorite.  I used to be able to buy canned boysenberries in Kansas but no longer can.  We were in California in April and I decided to check the internet and was able to find the product there.  Amazon did a great job of making sure I got what I wanted.  Thank you for that.
4,$22.25 for 8 cans,"I love boysenberries, blackberries and mulberries.  Mm, mm Mm, the darker the gentler. The light syrup is not too sweet so I don't mind spooning it in along with the berries.  The berries are mushier than firm but not mush and still somewhat shapely.  It was not difficult to finish a can."
5,Best pie ever,Boysenberry pie made with Oregon Fruit is absolutely exquisite.  I eat it right out of the can too.  A great substitute when fresh boysenberries are unavailable in your area.  LOL.
5,True Boysenberry Flavor - The Best Fruit There Is,"You know, I've been blessed to live in regions where I was able to have all kinds of wonderful fresh fruits, even very exotic varieties.  And of course I've had non-local fruits, including obscure faddish ones.  :)<br /><br />But I've concluded that nothing tops the boysenberry.  It is a flavor that is impossible to describe, because it is utterly distinctive.  There is no other fruit that tastes anything like it, even though it is a brambleberry and bears a close relationship to those.  If you have never tried boysenberry pie, I really urge you to do so.  I've never met anyone who didn't adore boysenberries from the first bite.  Just something about them.<br /><br />So I had some fear ordering this product, because many ""boysenberry"" pre-made products somehow lose much of the charm of real boysenberries.  However, this product is really excellent.  They are obviously canned berries, but they still offer up not only a surprisingly fresh berry effect, but they carry that true boysenberry ""something"" that makes these fruits so wonderful.<br /><br />I've so far just eaten these straight from the can as topping on marzipan cake.  However I full intend to reserve all of the syrup in my freezer until I decide what to make with it.  This stuff is precious.  :)<br /><br />My thanks to the other reviewers who left their feedback to help me decide whether it was worthwhile to try this product.  Pie is in my future!"
5,boysenberries yum,i use these for ice crean. nothing better than vanilla ice cream with spooned boysenberries.amazon rocks as always on price and delivery.Eight cans last me about 2 yrs.thats okay tho.never tried the pie but will soon
4,Boysenberry lust,"I always could find Boysenberries when living in Hawaii, but they are harder to find here in New England.  People used to carry the canned, but no more.  I am very grateful that Amazon makes them available.  My granddaughter and I made my husband his favorite pie last week.  The berries arrived quickly and in perfect condition.  I used the recipe on the back of the label.  Superb!  I only gave them four stars as they are canned and not fresh.  Way better than nothing."
5,love these berries,"Wonderful, privately owned company that I've been dealing with for years. always want to support that dying breed of business, trying to survive in the age of corporate takeovers. The product came on time, just like promised. yummy. Need the potassium and other nutrients so abundant in berries."
5,make a great pie,This is my 2nd order. Shipping this time was slower but well worth the wait. Makes a great pie filling. I will be reordering soon.
5,Oregon boysenberries; great stuff!,"Oregon always offers the best of the best. Where else can you get boysenberries? Products are always what they are supposed to be; no fillers, no artificial anything. If you are going to get canned fruit, get something good."
4,Good stuff!!,"I ordered this product for my mom because she loves boysenberry pie and we can't find it in our area. She made a pie using 2 cans of these the minute they arrived. The pie turned out very yummy and made her whole year she said. The only negative thing she said was that she wished the berries were a little less ""mushy"" but for the price they were a perfect fix for her craving. She would definately recommend this product (and has) to others wanting a good product for a good price."
5,The very best.,"Your canned ""Oregon"" boysenberries are the best. Thank you Amazon for sending them to me. I will keep ordering them, thats for sure. Shirley"
5,Oregon Fruit Boysenberries,I can always count on Oregon Fruit for the best boysenberries.  The pie I make with these is a family favorite!
5,boysenberries,These berries do not grow in the east.  I'm happy to be able to get them via mail.
5,Oregon Canned Fruit,All the pie filling I have purchased from Oregon company has been top quality and excellent in flavor.
5,Boysenberry Pie,Purchased Oregon canned Boysenberries. I made pie that was simply delicious.<br />Expensive but worth it.
5,always quick delivery and good price,"I buy this frequently to make boysenberry pies, a favorite for my husband who is from the northwestern US.  The pie instructions are inside the label and it is very easy to make.  I like being able to buy this in bulk and make pies over the holidays!"
5,Excellent,"For  those of us in North Texas, finding where we could get these was great news.  Everyone here thinks blackberries, but these are better!"
5,Boysenberries are back,"In our area, fresh Boysenberries had disappeared.  I discovered by searching on Amazon.com that Oregon Fruit was still canning them and ordered a case.  They are excellent.  Have made pies and used them in jello for hot weather (drain and measure juice as part of liquid then add the fruit).  I will continue to keep these in my pantry.  People have forgotten the delicious taste of these berries.  Black berries are just not the same. <a href=""http://www.amazon.com/gp/product/B000I62E82"">Oregon Fruit Boysenberries in Syrup, 15-Ounce Cans (Pack of 8)</a>"
5,Oregon Fruit Boysenberries,"These were bought for a friend who used to get them all the time when he lived in California, but hasnt been able to find them in the East. He was thrilled to receive them and we enjoyed them as soon as they were chilled, over pound cake and vanilla ice cream-yummy! And just last week he said he want to order another case."
5,boysenberries,this product was received in 3 days afer ordering.  I was so pleased that it arrived before Christmas.  Very excellent service!
3,Taste Good,I have just started drinking this tea and I think it tastes like Lipton tea. My Aunt claims she lost 85 lbs from it. You are suppose to drink about 12 oz [1 1/2 cups] after every meal. I figured I'd give it a try? I give it 4 stars because I just started drinking it and I'm not sure of the outcome.
1,Not fresh,"The cookies were not fresh and had become rather crumbly. As much as I love the Famous Amos Oatmeal cookies, I was really disappointed in the quality of what I received. I ended up throwing away 7 of the 8 packs that I received."
5,Great Cookies,"These are the best cookies ever, I sent them as a gift because my sister cannot get them in NJ.  We used to have them in our Publix in Florida, but for some reason they no longer carry them either, only the chocolate chip, not the oatmeal raisin.  She was so pleased with the individual serving size packages."
5,No more trips to Petco,"The girls @ the specialty pet food store won't carry IAMS products because they say IAMS contains fillers & are not healthy.  But these are my dogs favorite biscuit treats & the only reason we would go to Petco.  Actually my dog enjoys the trips to Petco because he can wander around & check out all the smells - Oh well, now we have to find other places for him to smell.<br />Occasionally Petco would be out of the Petite biscuits so buying them in bulk from Amazon is a much better option.  Less expensive too.<br /><br />If the girls @ the specialty pet food store are correct - I cannot say.  All I know is we have been feeding these biscuits to my dog since I got him & we have not evidenced any ill effect.  Actually those girls won't sell any Science Diet or Purina products either - they too apparently have fillers."
3,Kids Like The Shape!,"A fun pasta to help motivate the kids to eat a minimal fat/salt food. The ingredients list wheat flour. Keep in mind this is not the same as WHOLE wheat, so this is not a whole grain food, which in my opinion would be much healthier."
5,Guilt-free mac and cheese,"Great product. The kids like it, you can make it in minutes, and it doesn't contain so much junk that you get mother guilt."
5,Wonderful semi junk food,"Normally I don't purchase this kind of food, but every once and a while you need Mac and cheese from a box.  Being a vegetartian, I love that there are natural enzymes (no animal rennet) in this.  Very hard to find!  Great product and very yummy!"
5,Jolly Time popcorn,My Dad loves this popcorn and the store he was getting it at closed and he couldn't find it anwhere else.  He was happy that I was able to find it online. Thanks:)
5,Best Popcorn,My household is consuming too much sodium so we ditched the microwave popcorn and went back to what our moms and grandmoms popped us...Jolly Time is the best popcorn.
5,Authentic German Version,"My boyfriend went to Germany over the summer and brought back a bag of these. Aside from the German writing/packaging, he had no idea they were any different from what we normally purchase. The German flavors are SO much better than the US version. We are thrilled to have found an importer of these gummy bears. They are the best in the world, hands down."
5,Best Gummi Ever!,"These are hands down the best gummis I have ever tasted.  It may take a minute to get used to the flavors, only because they are so authentically fruity, they don't taste like the overly sweet gummis you are probably used to, but they are definitely worth a try.  These are different then the original German version of Goldbaren, these are the Saft (translated as ""juice"" in English) bears.  The original Goldbaren are much more similar to the Gold Bears sold in the US.  These taste more like actual fruit and come in different flavors: black currant, apple, lime, raspberry, pear, and peach."
1,do not order,I ordered these because they are the real German ones and not the American produced ones (trust me there is a huge difference in taste) but i never received them and when i asked for a refund on my purchase they never got back to me despite the five emails and several phone calls. order at your own risk
5,Delicious Flavors,"My wife and I decided to try these ""German"" flavors and we were not disappointed. We finished the bag within hours of receiving them. If you love gummy bears, give these a try."
3,Basic biscuits,"Nothing particularly special about these biscuits.  You can probably go less expensive for better quality or more expensive for better quality.  Does my dog like them?  Yes, but he also eats everything he can off the sidewalk."
5,Great flavor and no salt!,"I tried some of the Benson's Gourmet Seasonings recently and the Masterpiece Mediterranean is a beautifully balanced blend and one of my favorites.  Just like described it is great on any variety of ground meat.  Extremely flavorful and if you want a little salty type taste you can add a little of  ""Benson's Table Tasty"" after serving.  I am very impressed with Benson's and I recommend these seasonings to all my friends and family (many of whom have to cut their salt intake these days).  I no longer miss the salt as all of Benson's seasonings add so much flavor without salt or potassium chloride."
5,Birds love this food,"The  insect are only in top layer of suet, but the birds love this stuff!  It attracts many different species.  A good source of protein during winter and when raising young."
5,Excellent,Sent the chestnuts to my 89 yr. old mother.  She was delighted to receive them as it brought back memories of she and her siblings roasting chestnuts during the Christmas holidays.  All the chestnuts were fresh and a good size.  Will order again from this vender.
4,YUM!,"I like chestnuts and I always have trouble cooking them. These were easy to work with and cooked perfectly. Just heat the oven to 425 F. With a knife, make a reasonably deep X across the nuts, and bake for 30 minutes. The only reason why I gave a 4* is because I did not like the packaging, it was placed in a paper bag inside a plastic grocery bag. I think they should be put in a zipped or better sealed bag to prevent bugs."
1,molded chestnuts,"The chestnuts arrived closed in a plastic bag and they were all wet... Not a surprise only about 2 out of 25/30 chestnuts were not molded. Everybody knows that chestnuts should be kept in a breathable bag, such as canvas, cloth or paper bag, not sure why the seller ships them in plastic: mold is unavoidable in plastic. Maybe is a biological safety issue. I'm glad I tried 5-6 chestnuts at home before give them as a Christmas gift. I have to throw all them away."
5,The freshes,Excellent! These chestnuts were fresher than the chestnuts purchased in my local grocery store I definately recommend this product! Yum!!
4,Ye Olde Memories,"They were just like I remembered.  It took me back to the first time I had roasted chesnuts, about 35 years ago.  Thanks for the wonderful memories and taste."
5,"Just like Hamburger Helper, without the junk","tastes just like hamburger helper, actually maybe a little better.  i change the recipe - i only add a 1/2 pound of meat (usually organic ground turkey) and add noodles with a little extra water.  easy to throw together in a hurry if you make your ground meat ahead of time, freeze it in 1/2 pound increments and then throw the meat into a large pot to defrost and then finish off with the rest.  they only carry this at 1 grocery store near me (Bloom) which i don't get to very often (wish whole foods carried this one) so it's worth ordering for convenience alone although the price is pretty good."
5,Delicious!,I love this product.  It tastes so much better than Hamburger Helper because it is natural and not loaded with sodium and junk.  I highly recommend it.
