Term,LoanStatusCode,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),OccupationCode,EmploymentCode,EmploymentStatusDuration,IsBorrowerHomeownerCode,CurrentlyInGroupCode,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeLevel,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanQuarter,LoanYear,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
36,3,0.37453,0.35,0.34,,,,,,3,38,2,122,1,0,660,679,34920,7,7,41,6,713,2,8,1,107,2,0,0,27026,0.99,468,31,0.9,0,0.24,4,4166.666667,,,,,,,,,1714,12,69,33511,5000,39629,2,2008,226.18,1583.26,607.33,975.93,-27.88,0,4392.67,4392.67,859.72,1,0,0,0,61
60,2,0.22601,0.2015,0.1915,0.17716,0.0874,0.08976,4,4,2,9,1,115,0,0,720,739,40512,9,9,10,7,138,3,12,0,0,0,0,0,3695,0.25,10805,10,1,3,0.16,2,10000,,,,,,,,,0,,4,110790,15000,41597,4,2013,398.66,1187.6992,441.77,745.9292,-27.57,0,0,0,0,1,0,0,0,1
36,0,0.08882,0.0854,0.0754,0.0754,0.015,0.0604,7,10,1,22,1,17,0,0,780,799,36718,6,6,18,5,54,0,2,0,0,1,0,0,3677,0.08,41323,16,0.81,0,0.06,5,7750,,,,,,,,,0,,29,54999,7900,40843,4,2011,249.53,8025.21,7900,125.21,-14.46,0,0,0,0,1,1,1,500,92
36,0,0.15914,0.152,0.147,,,,,,0,16,9,,1,0,640,659,34784,,,18,0,0,2,,0,,20,0,,,,,,,,0.08,6,3333.333333,,,,,,,,,0,,93,1170,5000,38874,2,2006,173.82,5447.59,5000,447.59,-14.73,0,0,0,0,1,0,0,0,83
60,2,0.29998,0.2736,0.2636,0.241,0.1175,0.1235,3,3,1,17,1,59,1,0,760,779,39286,14,12,19,10,556,0,1,0,0,0,0,0,13416,0.65,6363,18,0.94,0,0.42,4,4166.666667,,,,,,,,,0,,8,95797,4000,41470,3,2013,123,858.0016,231.88,626.1216,-23,0,0,0,0,1,0,0,0,1
36,2,0.1899,0.1535,0.1435,0.13507,0.0599,0.07517,5,5,1,16,5,0,1,0,680,699,36845,7,6,14,6,238,1,6,1,0,1,0,0,5986,0.51,5487,14,0.92,1,0.23,1,1629.166667,,,,,,,,,0,,2,127337,4000,41660,1,2014,139.35,139.35,87.2,52.15,-3.4,0,0,0,0,1,0,0,0,61
36,2,0.12727,0.099,0.089,0.08619,0.0274,0.05879,6,6,1,0,1,547,1,0,700,719,25934,16,15,27,14,876,2,4,0,0,0,0,0,103616,0.74,13556,25,1,0,0.23,5,7833.333333,,,,,,,,,0,,1,134497,15000,41698,1,2014,483.3,0,0,0,0,0,0,0,0,1,0,0,0,1
36,2,0.34752,0.3075,0.2975,0.2706,0.1575,0.1131,1,3,1,0,1,57,1,0,660,679,35545,9,7,48,1,145,1,10,0,0,0,0,0,6684,0,0,45,0.93,2,0.4,5,8250,1,23,23,0,0,7500,3538.71,,0,,5,107289,4000,41575,4,2013,171.45,685.8,282.11,403.69,-13.13,0,0,0,0,1,0,0,0,25
36,2,0.2878,0.2492,0.2392,0.219,0.1125,0.1065,3,3,1,11,1,91,1,0,680,699,30011,10,10,30,6,329,1,1,0,0,3,0,0,7431,0.69,3252,28,0.78,1,0.15,5,6666.666667,,,,,,,,,0,,6,101156,5000,41527,3,2013,198.59,992.95,491.02,501.93,-20.14,0,0,0,0,1,0,0,0,54
36,2,0.33553,0.2958,0.2858,0.2727,0.147,0.1257,2,6,1,0,1,104,0,0,660,679,36798,7,6,13,4,144,0,8,0,0,0,1,0,3373,0.7,1025,10,0.9,0,0.3,3,2666.666667,,,,,,,,,0,,22,66603,4000,41053,2,2012,168.89,3546.69,1896.43,1650.26,-55.81,0,0,0,0,1,0,0,0,29
36,1,0.27276,0.26,0.245,,,,,,0,15,3,,0,1,0,19,36971,,,2,0,0,0,2,0,,3,1,,,,,,,,0.03,6,2316.666667,,,,,,,,,158,12,88,4746,1500,39041,4,2006,60.44,414.88,209.79,205.09,-4.1,0,1290.2,1290.21,0,1,0,0,0,11
12,0,0.05927,0.0499,0.0399,0.04,0.0155,0.0245,7,10,7,10,1,76,0,0,820,839,32101,3,3,12,3,38,0,1,0,0,0,0,0,800,0.03,22900,11,1,0,0.04,2,10833.33333,,,,,,,,,0,,37,47357,5000,40599,1,2011,428.01,5134.97,5000,134.97,-27.06,0,0,0,0,1,0,0,0,98
36,2,0.13301,0.105,0.095,0.09202,0.0274,0.06462,6,8,1,30,1,77,1,0,760,779,32360,13,13,27,9,294,0,3,0,0,0,0,0,6695,0.21,17475,26,0.96,0,0.32,3,4083.333333,,,,,,,,,0,,6,102148,10000,41535,3,2013,325.02,1622.2233,1206.2,416.0233,-39.9,0,0,0,0,1,0,0,0,1
36,2,0.17359,0.1449,0.1349,0.1326,0.0565,0.0761,5,8,15,35,1,43,0,0,720,739,36595,14,11,30,14,220,3,8,2,66,0,0,0,2908,0.11,19517,29,0.93,1,0.09,4,4333.333333,,,,,,,,,0,,24,61652,5500,40974,1,2012,189.29,4353.67,3231.09,1122.58,-77.48,0,0,0,0,1,0,0,0,1
36,0,0.07032,0.059,0.049,,,,,,3,21,2,97,1,0,800,819,32874,13,11,34,10,145,0,2,0,0,0,0,0,6893,0.1,46955,29,1,1,0.16,2,9166.666667,,,,,,,,,0,,70,31954,1500,39597,2,2008,45.56,1529.11,1500,29.11,-4.93,0,0,0,0,1,0,0,0,41
36,0,0.15713,0.15,0.1425,,,,,,0,0,3,,1,1,720,739,30813,,,17,3,296,6,14,0,,0,0,,,,,,,,,6,0,,,,,,,,,0,,91,2552,8000,38944,3,2006,274.24,9953.49,8000,1953.49,-66.22,0,0,0,0,1,0,0,0,63
36,0,0.16838,0.1594,0.1544,,,,,,0,0,3,,0,0,620,639,35516,,,8,5,371,1,1,1,,0,0,,,,,,,,0.36,6,1333.333333,,,,,,,,,0,,86,6724,2000,39105,1,2007,70.25,2105.09,2000,105.09,-3.29,0,0,0,0,1,0,0,0,82
36,2,0.12528,0.0974,0.0874,0.0872,0.0249,0.0623,6,8,1,35,1,45,0,0,700,719,37870,8,7,14,5,237,0,4,0,0,0,0,0,6769,0.29,15981,14,1,1,0.36,3,3583.333333,2,22,22,0,0,14000,5767.45,18,0,,18,75093,14500,41180,3,2012,466.11,7923.87,6322.44,1601.43,-164.41,0,0,0,0,1,0,0,0,257
36,1,0.28018,0.2725,0.255,,,,,,0,1,3,,0,1,560,579,32174,,,48,3,44,0,7,1,,29,1,,,,,,,,0.23,6,10416.66667,,,,,,,,,204,11,91,2309,9500,38933,3,2006,389.11,1897.7,902.29,995.41,-19.15,0,8597.7,8597.71,0,1,0,0,0,28
36,5,0.35797,0.3177,0.3077,0.2896,0.1625,0.1271,1,6,1,0,5,205,0,0,640,659,35649,7,7,15,7,120,2,4,0,0,18,1,0,1010,0.17,4840,14,0.64,4,0.18,1,1666.666667,,,,,,,,,29,,19,71787,4000,41130,3,2012,173.71,2953.07,1429.7,1523.37,-47.97,0,0,0,0,1,0,0,0,78
36,0,0.11142,0.0975,0.0875,,,,,,4,0,2,42,0,0,700,719,32430,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0.8,0,0.06,4,4233.333333,,,,,,,,,0,,69,32693,2000,39611,2,2008,64.3,2307.45,1999.98,307.47,-31.54,0,0,0,0,1,0,0,0,72
36,0,0.17069,0.149,0.139,0.0772,0.0595,0.0772,5,8,2,19,1,41,1,0,720,739,29373,15,13,31,9,99,4,5,0,0,3,0,0,3011,0.19,9353,29,0.75,2,0.13,3,4083.333333,,,,,,,,,0,,39,45697,7500,40513,4,2010,240.77,9350.17,7499.99,1850.18,-124.18,0,0,0,0,1,0,0,0,192
36,2,0.15833,0.1299,0.1199,0.11477,0.0399,0.07487,6,5,1,5,1,56,0,0,740,759,33429,5,5,10,3,243,0,0,0,0,0,0,0,8562,0.92,619,9,1,0,0.33,3,2833.333333,,,,,,,,,0,,4,112525,10000,41603,4,2013,336.89,1007.1111,719.67,287.4411,-22.4,0,0,0,0,1,0,0,0,1
36,1,0.19228,0.185,0.165,,,,,,0,0,7,31,0,1,660,679,32905,6,4,22,2,84,7,14,1,47,1,0,0,2738,0.84,250,19,0.8,1,0.27,4,5283.333333,,,,,,,,,294,31,81,16437,13000,39260,2,2007,473.25,12094.15,8407.54,3686.61,-189.83,-120.69,4647.35,4592.46,0,1,1,1,400,328
36,2,0.20217,0.1655,0.1555,0.14559,0.0674,0.07819,4,4,1,11,1,16,0,0,720,739,34113,5,5,8,3,360,1,3,0,0,0,0,0,17167,0.92,1433,8,1,1,0.23,2,8333.333333,,,,,,,,,0,,3,121158,13000,41625,4,2013,460.58,921.16,559.61,361.55,-21.85,0,0,0,0,1,0,0,0,1
36,0,0.10739,0.0935,0.0835,,,,,,4,0,7,50,1,0,720,739,30011,28,22,69,17,352,1,11,0,0,0,0,0,14821,0.25,38695,66,1,1,0.43,3,2416.666667,1,11,11,0,0,2000,488.63,-40,0,,71,30054,3000,39562,2,2008,95.89,3306.11,3000,306.11,-32.74,0,0,0,0,1,0,0,0,78
36,1,0.35643,0.3199,0.3099,0.2957,0.147,0.1487,2,5,3,0,5,76,0,0,660,679,29656,4,4,15,5,52,5,17,0,0,8,1,1,519,0.01,27431,11,0.66,0,,4,5833.333333,,,,,,,,,121,7,34,50006,5404,40694,2,2011,235.35,470.7,184.3,286.4,-52.28,-1080,5219.97,2681.14,1446.17,0.7205,0,0,0,108
36,2,0.30182,0.2629,0.2529,0.23057,0.1275,0.10307,2,2,7,17,1,99,0,0,660,679,36073,7,6,17,3,170,4,5,0,0,0,1,0,5860,0.48,6140,17,0.94,2,0.22,3,3750,,,,,,,,,0,,5,107969,3000,41576,4,2013,121.34,485.36,229.06,256.3,-9.75,0,0,0,0,1,0,0,0,46
36,2,0.30131,0.2624,0.2524,0.22987,0.1325,0.09737,2,4,1,21,1,66,0,0,640,659,38194,15,15,30,8,791,0,2,0,0,0,0,0,24767,0.97,420,22,0.86,1,0.28,5,6666.666667,,,,,,,,,0,,2,127624,5000,41656,1,2014,202.09,202.09,90.66,111.43,-4.25,0,0,0,0,1,0,0,0,6
36,0,0.29223,0.2845,0.2595,,,,,,0,12,3,,1,1,480,499,37188,,,4,0,0,0,3,1,,11,0,,,,,,,,0.06,6,2166.666667,,,,,,,,,0,,86,7026,3050,39113,1,2007,126.9,4122.03,3050,1072.03,-20.27,0,0,0,0,1,0,0,0,40
60,2,0.23872,0.2139,0.2039,0.1898,0.0774,0.1124,4,4,1,31,1,64,1,0,700,719,35665,19,17,33,13,771,1,4,0,0,0,0,0,22142,0.76,6077,25,1,0,0.36,3,3583.333333,,,,,,,,,0,,8,96304,10000,41473,3,2013,272.73,1903.2497,685.27,1217.9797,-57.22,0,0,0,0,1,0,0,0,1
36,2,0.15324,0.1249,0.1149,0.11024,0.0374,0.07284,6,5,1,24,1,289,1,0,700,719,30627,13,12,33,15,501,2,6,0,0,0,1,0,13528,0.61,7909,33,1,2,0.14,4,5416.666667,,,,,,,,,0,,4,111824,7400,41600,4,2013,247.52,804.9878,581.47,223.5178,-18.1,0,0,0,0,1,0,0,0,1
36,3,0.15613,0.149,0.139,,,,,,0,1,2,72,1,0,680,699,29921,11,8,21,9,218,0,4,1,959,0,0,0,11454,0.56,8746,19,0.71,0,0.19,5,6599.666667,,,,,,,,,2268,12,83,13215,20000,39196,2,2007,692.33,4846.31,3218.2,1628.11,-109.28,0,16781.79,16781.8,0,1,0,0,0,362
36,0,0.06688,0.0499,0.0499,,,,,,4,0,2,189,1,0,860,879,29403,4,4,26,4,0,0,0,0,0,0,0,0,0,0,85000,25,1,0,0,2,9000,,,,,,,,,0,,72,28976,1000,39535,1,2008,29.97,1005.3,1000,5.3,0,0,0,0,0,1,2,0,0,27
60,2,0.14147,0.1189,0.1089,0.10446,0.0374,0.06706,6,10,1,0,1,20,1,0,720,739,35151,12,11,30,11,607,0,2,0,0,0,0,0,14244,0.41,18398,26,0.88,0,0.19,5,6666.666667,,,,,,,,,0,,1,131773,25000,41681,1,2014,554.72,0,0,0,0,0,0,0,0,1,0,0,0,1
36,2,0.09434,0.0809,0.0709,0.06919,0.0199,0.04929,7,8,1,10,1,294,0,0,740,759,36672,9,9,41,6,159,1,5,0,0,0,0,0,2718,0.21,9882,35,1,2,0.18,4,5666.666667,,,,,,,,,0,,2,127454,15000,41660,1,2014,470.67,467.3453,367.61,99.7353,-12.74,0,0,0,0,1,0,0,0,1
36,2,0.19859,0.162,0.152,0.14256,0.0649,0.07766,4,5,18,5,1,217,0,0,660,679,34335,7,6,10,6,388,1,1,0,0,0,1,0,12171,0.9,1154,9,1,0,0.16,3,3250,,,,,,,,,0,,3,122210,3500,41626,4,2013,123.4,246.8,151.52,95.28,-5.88,0,0,0,0,1,0,0,0,1
36,0,0.2951,0.2599,0.2499,0.2437,0.108,0.1357,3,7,1,5,1,160,0,0,660,679,35158,14,10,23,9,273,0,2,0,0,1,1,0,4890,0.87,338,21,0.72,1,0.2,3,3833.333333,,,,,,,,,0,,35,49007,3000,40662,2,2011,120.86,4299.01,3000,1299.01,-49.98,0,0,0,0,1,0,0,0,33
36,2,0.2353,0.1979,0.1879,0.1749,0.0774,0.0975,4,3,1,17,1,323,1,0,680,699,30376,18,17,27,14,873,0,1,0,0,0,0,0,20347,0.72,5779,27,0.85,2,0.34,4,6083.333333,,,,,,,,,0,,7,97913,10000,41491,3,2013,370.57,2223.42,1278.09,945.33,-47.76,0,0,0,0,1,0,0,0,26
36,0,0.13705,0.13,0.12,,,,,,0,15,2,178,1,0,700,719,31413,15,9,32,8,365,4,14,0,0,0,0,0,15936,0.6,5652,30,1,2,0.16,4,4600,,,,,,,,,0,,79,18363,6000,39321,3,2007,202.16,6082.18,6000,82.18,-6.33,0,0,0,0,1,0,0,0,38
12,0,0.34105,0.2499,0.2399,0.234,0.112,0.122,3,7,7,60,1,11,0,0,660,679,31601,1,1,47,1,15,3,5,0,0,34,1,0,184,0.36,316,40,0.57,1,0.05,2,8583.333333,,,,,,,,,0,,32,51315,4500,40744,3,2011,423.4,5136.44,4500,636.44,-25.48,0,0,0,0,1,0,0,0,78
60,2,0.23318,0.2085,0.1985,0.195,0.0565,0.1385,5,8,1,1,1,16,1,0,760,779,33343,13,12,28,10,384,2,12,0,0,0,0,0,14857,0.17,60938,28,1,2,0.11,2,9416.666667,,,,,,,,,0,,20,69062,13000,41092,3,2012,350.6,7012,2950.62,4061.38,-194.8,0,0,0,0,1,0,0,0,19
36,1,0.17671,0.1695,0.1495,,,,,,0,0,3,,0,1,600,619,32675,,,15,3,15,4,10,5,,18,0,,,,,,,,0.17,6,1015.833333,,,,,,,,,191,9,86,6482,2500,39099,1,2007,89.07,343.16,165,178.16,-3.01,-7.35,2335,2335,0,1,0,0,0,121
36,2,0.2129,0.176,0.166,0.15519,0.0699,0.08529,4,4,1,12,1,52,0,0,660,679,29037,11,9,28,8,315,5,15,0,0,40,1,0,7299,0.69,2752,24,0.72,2,0.24,4,4250,,,,,,,,,0,,6,101616,7000,41536,3,2013,251.66,1258.3,764.34,493.96,-28.07,0,0,0,0,1,0,0,0,104
36,3,0.12911,0.1221,0.1121,,,,,,0,1,2,53,0,1,680,699,36847,7,6,19,3,63,0,2,0,0,6,0,0,1723,0.38,2777,13,0.76,1,0.24,4,5000,,,,,,,,,1855,20,76,21515,5000,39395,4,2007,166.57,2331.98,1729.9,602.08,-49.31,0,3270.11,3270.1,0,1,0,0,0,104
36,2,0.12427,0.0964,0.0864,0.0862,0.02,0.0662,6,9,13,30,2,113,1,0,740,759,38746,5,5,10,2,35,0,3,0,0,0,0,0,1308,0.27,1446,10,1,0,0.12,3,3750,3,78,78,0,0,8500,2082.18,3,0,,21,68755,8000,41087,2,2012,256.79,5135.8,4156.68,979.12,-101.54,0,0,0,0,1,0,0,0,3
36,0,0.1477,0.1299,0.1249,,,,,,0,57,3,,1,0,660,679,37772,,,17,9,184,7,13,0,,0,0,,,,,,,,,6,0,,,,,,,,,0,,87,5636,1000,39070,4,2006,33.69,1206.41,1000,206.41,-7.94,0,0,0,0,1,0,0,0,37
36,2,0.31032,0.2712,0.2612,0.2382,0.1275,0.1107,2,2,1,12,1,84,0,0,680,699,36893,9,9,28,9,301,6,12,0,0,0,0,0,5163,0.57,778,22,0.86,1,0.15,2,12916.66667,,,,,,,,,0,,7,98414,4000,41494,3,2013,163.56,981.36,460.14,521.22,-19.22,0,0,0,0,1,0,0,0,61
36,0,0.12461,0.1035,0.0935,0.0722,0.021,0.0722,6,9,1,29,2,85,1,0,740,759,31476,14,13,32,11,470,0,5,0,0,0,0,0,23958,0.37,39942,31,0.96,0,0.26,3,4000,,,,,,,,,0,,54,38496,10000,40067,3,2009,324.32,11674.32,9999.98,1674.34,-161.77,0,0,0,0,1,0,0,0,392
36,0,0.35797,0.3177,0.3077,0.2896,0.165,0.1246,1,2,3,0,8,143,1,0,720,739,35370,9,8,37,9,457,0,9,0,0,1,0,0,7482,0.46,9156,34,0.88,2,,3,4000,,,,,,,,,0,,23,64738,4000,41026,2,2012,173.71,5807.27,4000,1807.27,-56.9,0,0,0,0,1,0,0,0,32
36,0,0.26681,0.2287,0.2187,0.2134,0.099,0.1144,3,6,1,1,1,48,0,0,620,639,33909,14,12,34,11,330,1,9,0,0,1,0,0,7866,0.93,374,18,0.88,0,0.17,2,10333.33333,1,19,19,0,0,3000,1718.88,-17,0,,21,67513,15000,41067,2,2012,579.63,16863.03,15000,1863.03,-81.46,0,0,0,0,1,0,0,0,9
36,2,0.24205,0.2045,0.1945,0.1797,0.0899,0.0898,4,5,1,4,1,134,1,0,640,659,37585,10,10,17,8,251,0,0,1,105,0,1,0,6197,0.81,1453,14,0.66,1,0.25,3,3500,,,,,,,,,0,,4,108725,8000,41582,4,2013,299.15,1192.1178,675.02,517.0978,-25.51,0,0,0,0,1,0,0,0,1
36,0,0.27767,0.27,0.26,,,,,,3,53,2,54,0,1,660,679,35330,12,12,33,12,619,2,5,0,0,0,0,0,28438,0.84,5115,27,0.88,0,,0,0,,,,,,,,,0,,71,30065,7500,39562,2,2008,306.19,10472.05,7500,2972.05,-108.94,0,0,0,0,1,0,0,0,116
36,0,0.10739,0.09,0.085,,,,,,0,0,2,329,1,0,740,759,31169,16,14,33,11,1212,0,2,0,0,0,0,0,47131,0.44,59766,31,0.93,2,0.37,4,5000,,,,,,,,,0,,80,16697,1000,39269,3,2007,31.8,1074.47,1000,74.47,-4.14,0,0,0,0,1,0,0,0,44
36,2,0.23233,0.195,0.185,0.17162,0.0824,0.08922,4,2,2,4,1,64,1,0,760,779,36526,18,17,36,10,226,1,10,0,0,0,0,0,4106,0.22,13904,34,1,0,0.33,2,8333.333333,,,,,,,,,0,,4,110734,15000,41590,4,2013,553.64,1652.9063,939.17,713.7363,-37.01,0,0,0,0,1,0,0,0,1
36,0,0.08617,0.069,0.064,,,,,,0,10,3,,1,1,820,839,34400,,,22,6,55,0,0,0,,0,0,,,,,,,,0.09,6,4333.333333,,,,,,,,,0,,87,5944,1000,39078,4,2006,30.83,1061.76,1000,61.76,-4.47,0,0,0,0,1,0,0,0,39
36,2,0.24246,0.2049,0.1949,0.1904,0.089,0.1014,4,7,13,25,1,346,0,0,640,659,28006,2,2,32,1,0,0,2,0,0,39,1,0,0,0,0,25,0.64,0,0.04,4,4583.333333,,,,,,,,,0,,24,61881,3000,40980,1,2012,112.24,2581.52,1697.76,883.76,-43.11,0,0,0,0,1,0,0,0,61
36,0,0.35797,0.3177,0.3077,0.2896,0.165,0.1246,1,5,2,31,1,200,1,0,700,719,35707,16,14,61,9,295,0,9,0,0,16,1,0,8064,0.7,3241,56,0.77,3,0.19,2,8333.333333,,,,,,,,,0,,25,61002,4000,40963,1,2012,173.71,5188.25,4000,1188.25,-37.4,0,0,0,0,1,0,0,0,10
36,0,0.35797,0.3177,0.3077,0.2896,0.165,0.1246,1,5,20,0,1,241,1,0,660,679,35146,6,6,17,4,357,0,0,1,1720,0,0,0,13803,0.94,647,17,0.82,0,0.18,4,5416.666667,,,,,,,,,0,,20,68970,4000,41092,3,2012,173.71,4830.07,4000,830.07,-26.13,0,0,0,0,1,0,0,0,15
36,2,0.1954,0.1585,0.1485,0.13953,0.0624,0.07713,4,4,1,4,1,120,0,0,660,679,36006,8,8,34,9,270,1,6,0,0,15,1,0,4801,0.49,3268,34,0.79,1,0.14,3,3250,,,,,,,,,0,,1,133690,4500,41694,1,2014,157.87,0,0,0,0,0,0,0,0,1,0,0,0,1
36,1,0.17445,0.16,0.15,,,,,,1,11,8,26,1,0,740,759,34423,21,14,56,8,834,3,25,0,0,0,0,0,121983,0.67,57758,44,1,2,,2,10833.33333,2,25,25,0,0,3500,2059.3,-40,1047,16,66,37105,14000,39717,3,2008,492.2,5537.25,3251.84,2285.41,-158.57,-83.68,10748.16,10748.16,373.05,1,1,0,0,381
36,2,0.15833,0.1299,0.1199,0.1148,0.0399,0.0749,6,8,1,12,1,56,1,0,660,679,33482,15,15,37,11,281,1,18,0,0,24,2,0,4719,0.08,43185,34,0.67,0,0.16,2,10000,1,11,11,0,0,5000,4476.8,-104,0,,10,91675,3000,41423,2,2013,101.07,909.63,643.4,266.23,-20.5,0,0,0,0,1,0,0,0,29
36,2,0.16324,0.1274,0.1174,0.1121,0.0424,0.0697,5,7,1,35,1,226,1,0,680,699,33002,7,7,30,4,134,1,2,0,0,11,0,0,17029,0.92,71,21,0.95,0,0.25,4,4583.333333,1,11,11,0,0,6500,5867.09,,0,,3,119267,15000,41610,4,2013,503.53,1510.59,1049.79,460.8,-36.17,0,0,0,0,1,0,0,0,146
36,2,0.26149,0.2235,0.2135,0.19571,0.1075,0.08821,3,2,1,19,1,7,1,0,700,719,35086,11,11,21,8,2332,3,5,0,0,0,0,0,88765,0.91,6794,21,1,3,0.38,5,7916.666667,,,,,,,,,0,,2,126852,8500,41656,1,2014,326.16,326.16,164.81,161.35,-7.22,0,0,0,0,1,0,0,0,2
60,2,0.13227,0.1099,0.0999,0.0965,0.0299,0.0666,6,8,1,10,1,97,1,0,780,799,31138,13,13,31,13,706,1,5,0,0,0,0,0,31581,0.66,15041,30,0.96,0,0.15,2,10416.66667,,,,,,,,,0,,10,90067,18500,41402,2,2013,402.14,3619.26,2160.55,1458.71,-132.75,0,0,0,0,1,0,0,0,329
60,2,0.21822,0.1939,0.1839,0.1739,0.0549,0.119,5,7,2,17,1,89,1,0,760,779,36100,8,7,19,5,794,1,1,0,0,0,0,0,32744,0.62,19357,18,0.94,0,0.28,4,5833.333333,,,,,,,,,0,,13,85490,13000,41326,1,2013,340.02,4080.24,1709.19,2371.05,-122.28,0,0,0,0,1,0,0,0,215
60,2,0.15844,0.1355,0.1255,0.11932,0.0474,0.07192,5,7,1,34,1,58,1,0,740,759,33015,10,10,19,8,585,1,1,0,0,0,0,0,26748,0.53,23612,17,1,0,0.26,4,4583.333333,,,,,,,,,0,,3,122731,15000,41626,4,2013,345.53,691.06,347.81,343.25,-25.33,0,0,0,0,1,0,0,0,1
60,2,0.26128,0.2359,0.2259,0.2085,0.0925,0.116,3,3,1,33,1,310,1,0,740,759,31503,8,7,35,9,660,0,0,0,0,0,0,0,19295,0.51,10082,33,0.96,0,0.33,3,3000,,,,,,,,,0,,7,100648,10000,41515,3,2013,285.3,1711.8,555.56,1156.24,-49,0,0,0,0,1,0,0,0,19
60,2,0.28704,0.261,0.251,0.2448,0.099,0.1458,3,3,1,12,1,23,1,0,660,679,33190,10,10,26,8,276,1,5,2,3893,0,1,0,6474,0.99,65,23,0.95,0,0.22,4,5525,1,9,9,0,0,6000,4985.5,-12,0,,20,70710,13000,41110,3,2012,390,7410,2469.52,4940.48,-189.28,0,0,0,0,1,0,0,0,11
36,2,0.29537,0.2566,0.2466,0.2254,0.1175,0.1079,3,2,3,13,1,7,0,0,660,679,38516,3,3,11,2,55,1,3,3,706,11,1,0,156,0.15,844,10,0.5,0,0.06,5,7916.666667,,,,,,,,,0,,8,96134,4000,41474,3,2013,160.44,1120.2679,553.29,566.9779,-22.22,0,0,0,0,1,0,0,0,1
36,0,0.35797,0.3177,0.3077,0.2896,0.165,0.1246,1,4,13,13,1,89,1,0,720,739,36500,6,6,16,4,114,3,5,0,0,0,0,0,3341,0.77,913,16,0.75,0,0.22,3,3687.5,,,,,,,,,0,,20,71263,4000,41115,3,2012,173.71,5049.21,4000,1049.21,-33.02,0,0,0,0,1,0,0,0,24
12,0,0.30461,0.2254,0.2154,0.2057,0.1375,0.0682,2,6,7,0,4,1,0,0,660,679,36403,2,1,26,1,60,0,0,2,5421,12,1,0,140,0.7,60,24,0.79,0,,7,0,,,,,,,,,0,,18,74658,2000,41176,3,2012,187.71,2246.21,2000,246.21,-10.91,0,0,0,0,1,0,0,0,35
36,0,0.35356,0.3134,0.3034,0.276,0.1575,0.1185,1,3,18,12,1,130,0,0,660,679,38700,8,8,14,5,136,0,9,0,0,9,0,0,1691,0.99,2,14,0.85,2,0.65,3,3583.333333,,,,,,,,,0,,14,82473,2000,41298,1,2013,86.38,2073.51,2000,73.51,-2.35,0,0,0,0,1,0,0,0,35
36,1,0.1491,0.142,0.1295,,,,,,0,16,9,,1,0,680,699,35494,,,32,0,0,7,,0,,0,0,,,,,,,,0.19,6,8333.333333,,,,,,,,,193,11,94,963,13500,38856,2,2006,462.71,2273.02,1546.19,726.83,-27,0,11953.8,11953.81,0,1,0,0,0,170
36,2,0.18214,0.1459,0.1359,0.1292,0.0474,0.0818,5,4,1,32,1,71,1,0,760,779,31646,11,9,40,9,803,3,12,0,0,0,0,0,18857,0.45,17915,40,1,0,0.28,2,8333.333333,,,,,,,,,0,,7,98124,15000,41495,3,2013,516.97,3095.8241,2061.04,1034.7841,-71.34,0,0,0,0,1,0,0,0,1
36,0,0.09794,0.0945,0.0845,0.0695,0.015,0.0695,7,6,1,1,2,111,1,0,800,819,34486,15,13,45,9,604,1,6,0,0,0,0,0,35772,0.11,63990,40,1,1,0.34,5,6666.666667,,,,,,,,,0,,51,40191,25000,40177,4,2009,800.24,28807.71,25000,3807.71,-402.92,0,0,0,0,1,0,0,0,782
60,2,0.22549,0.201,0.191,0.1762,0.0925,0.0837,3,6,1,0,1,38,0,0,640,659,35639,7,6,37,7,227,4,8,0,0,14,2,0,6680,0.91,620,37,0.86,3,0.15,5,6833.333333,,,,,,,,,0,,3,121082,15000,41620,4,2013,398.24,796.48,286.77,509.71,-25.36,0,0,0,0,1,0,0,0,243
